Final layout Boroowa 2019 field trial - TOS2,,,,,,,,,,
ID,ENTRY,ROW,RANGE,REP,Box,Order,,field packet stem id,Tanya's Mistake replacement,
DRUM,69,68,6,2,4,102,4,ST50PKT0YZ0C,,
Dunkeld,70,16,3,1,4,21,3,ST50PKT0YX76,,
Dunkeld,70,44,4,2,4,64,4,ST50PKT0YX77,,
Duplo,71,44,3,1,4,63,3,ST50PKT0YX7J,,
Duplo,71,67,6,2,3,102,4,ST50PKT0YX7K,,
Dwarf Essex,72,4,4,2,4,4,4,ST50PKT0YX7W,,
Dwarf Essex,72,57,2,1,1,86,3,ST50PKT0YX7V,,
ERGLU,73,14,2,1,2,20,3,ST50PKT0YX85,,
ERGLU,73,63,5,2,3,95,4,ST50PKT0YX86,,
EUROL,74,44,5,2,4,65,4,ST50PKT0YX8J,,
EUROL,74,45,2,1,1,68,3,ST50PKT0YX8H,,
EURORA,75,14,4,2,2,22,4,ST50PKT0YX8V,,
EURORA,75,62,3,1,2,93,3,ST50PKT0YX8T,,
Excalibur,76,5,1,1,1,7,3,ST50PKT0YX94,,
Excalibur,76,25,4,2,1,40,4,ST50PKT0YX95,,
Eyre,77,46,5,2,2,71,4,ST50PKT0YX9H,,
Eyre,77,47,1,1,3,67,3,ST50PKT0YX9G,,
Flinders TTC,78,22,4,2,2,34,4,ST50PKT0YZ1B,,
Flinders TTC,78,67,2,1,3,98,3,ST50PKT0YZ19,,
Garnet,79,28,3,1,4,39,3,ST50PKT0YXB3,,
Garnet,79,61,5,2,1,95,4,ST50PKT0YXB4,,
GEM,80,19,3,1,3,27,3,ST50PKT0YXBF,,
GEM,80,65,4,2,1,100,4,ST50PKT0YXBG,,
Georgie,81,17,3,1,1,27,3,ST50PKT0YXBR,,
Georgie,81,56,5,2,4,83,4,ST50PKT0YXBS,,
GOLDEN,82,26,4,2,2,40,4,ST50PKT0YXC3,,
GOLDEN,82,46,2,1,2,68,3,ST50PKT0YXC2,,
GROENE GRONINGER SNIJMOES,83,34,4,2,2,52,4,ST50PKT0Z1PN,,
GROENE GRONINGER SNIJMOES,83,68,1,1,4,97,3,ST50PKT0Z1PM,,
GSL1,84,25,3,1,1,39,3,ST50PKT0YXCD,,
GSL1,84,39,5,2,3,59,4,ST50PKT0YXCF,,
Hakuran,85,5,2,1,1,8,3,ST50PKT0YXCQ,,
Hakuran,85,55,5,2,3,83,4,ST50PKT0YXCR,,
Hanna,86,4,2,1,4,2,3,ST50PKT0YXD1,,
Hanna,86,41,6,2,1,66,4,ST50PKT0YXD2,,
HANSEN X GASPARD DH LINE,87,35,6,2,3,54,4,ST50PKT0YXDD,,
HANSEN X GASPARD DH LINE,87,36,2,1,4,50,3,ST50PKT0YXDC,,
HELIOS,88,32,6,2,4,48,4,ST50PKT0YXDQ,,
HELIOS,88,59,2,1,3,86,3,ST50PKT0YXDP,,
Huayou 8,89,3,5,2,3,5,4,ST50PKT0YXF1,,
Huayou 8,89,53,3,1,1,81,3,ST50PKT0YXF0,,
Huron x Navajo,90,32,2,1,4,44,3,ST50PKT0YXFB,,
Huron x Navajo,90,50,5,2,2,77,4,ST50PKT0YXFC,,
Hytec Trophy,91,54,5,2,2,83,4,ST50PKT0YZ3L,,
Hytec Trophy,91,55,1,1,3,79,3,ST50PKT0YZ3K,,
IB 1337,92,8,3,1,4,9,3,ST50PKT0YXFZ,,
IB 1337,92,57,4,2,1,88,4,ST50PKT0YXG0,,
IB 1368,93,37,1,1,1,55,3,ST50PKT0YZ3W,,
IB 1368,93,51,4,2,3,76,4,ST50PKT0YZ3X,,
Inca x Contact,94,1,3,1,1,3,3,ST50PKT0YXG9,,
Inca x Contact,94,21,4,2,1,34,4,ST50PKT0YXGB,,
Insignia,95,11,3,1,3,15,3,ST50PKT0YXGM,,
Insignia,95,45,6,2,1,72,4,ST50PKT0YXGN,,
IWANAI,96,23,1,1,3,31,3,ST50PKT0YXGY,,
IWANAI,96,62,6,2,2,96,4,ST50PKT0YXGZ,,
JADE,97,60,3,1,4,87,3,ST50PKT0YXH8,,
JADE,97,61,6,2,1,96,4,ST50PKT0YXH9,,
Janetzkis Schlesischer,98,33,5,2,1,53,4,ST50PKT0YXHM,,
Janetzkis Schlesischer,98,37,3,1,1,57,3,ST50PKT0YXHL,,
KARAT,99,11,5,2,3,17,4,ST50PKT0YXHY,,
KARAT,99,64,3,1,4,93,3,ST50PKT0YXHX,,
KAROO-057DH,100,39,1,1,3,55,3,ST50PKT0YXJ7,,
KAROO-057DH,100,40,6,2,4,60,4,ST50PKT0YXJ8,,
KONGO,101,15,1,1,3,19,3,ST50PKT0YXJK,,
KONGO,101,18,4,2,2,28,4,ST50PKT0YXJL,,
Kromerska,102,23,5,2,3,35,4,ST50PKT0YXJX,,
Kromerska,102,55,2,1,3,80,3,ST50PKT0YXJW,,
Kubanskij,103,19,1,1,3,25,3,ST50PKT0YZ5H,,
Kubanskij,103,20,5,2,4,29,4,ST50PKT0YZ5J,,
Lantern,104,2,4,2,2,4,4,ST50PKT0YXK7,,
Lantern,104,48,3,1,4,69,3,ST50PKT0YXK6,,
LEGEND,105,6,1,1,2,7,3,ST50PKT0YXKJ,,
LEGEND,105,53,6,2,1,84,4,ST50PKT0YXKK,,
LEMBKES MALCHOWER (LENORA),106,24,5,2,4,35,4,ST50PKT0YXKW,,
LEMBKES MALCHOWER (LENORA),106,66,1,1,2,97,3,ST50PKT0YXKV,,
LICROWN X EXPRESS DH LINE,107,54,4,2,2,82,4,ST50PKT0YXL6,,
LICROWN X EXPRESS DH LINE,107,56,3,1,4,81,3,ST50PKT0YXL5,,
MADRIGAL x RECITAL DH LINE,108,5,4,2,1,10,4,ST50PKT0YXLJ,,
MADRIGAL x RECITAL DH LINE,108,45,1,1,1,67,3,ST50PKT0YXLH,,
Marasaki,109,30,3,1,2,45,3,ST50PKT0YXLT,,
